max_depth,generation,id,individual,fitness
4,2,42,"sub(div(CAPACITY, DISTANCE), mult(sub(div(DISTANCE, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)), CAPACITY))",-4129.208190661281
4,2,43,"div(sub(sub(mult(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)), div(add(DISTANCE, DISTANCE), add(CAPACITY, DISTANCE))), sub(sub(add(DISTANCE, INITIAL_CAPACITY), add(DISTANCE, DISTANCE)), add(mult(DISTANCE, INITIAL_CAPACITY), sub(CAPACITY, INITIAL_CAPACITY))))",-2805.552211226606
4,2,44,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, add(INITIAL_CAPACITY, INITIAL_CAPACITY)))",-3350.1956900593113
4,2,45,"div(CAPACITY, CAPACITY)",-2778.8174254325213
4,2,46,"div(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,47,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,48,"div(sub(sub(mult(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)), div(add(DISTANCE, DISTANCE), add(CAPACITY, DISTANCE))), sub(sub(add(DISTANCE, INITIAL_CAPACITY), add(DISTANCE, DISTANCE)), add(mult(DISTANCE, INITIAL_CAPACITY), sub(CAPACITY, INITIAL_CAPACITY))))",-2805.552211226606
4,2,49,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,50,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,51,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,52,CAPACITY,-3588.788280293496
4,2,53,"mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, DISTANCE))",-2790.1071500705866
4,2,54,CAPACITY,-3588.788280293496
4,2,55,"sub(div(CAPACITY, DISTANCE), mult(DISTANCE, CAPACITY))",-3275.3727970012014
4,2,56,"sub(div(div(INITIAL_CAPACITY, mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), INITIAL_CAPACITY), DISTANCE)",-2778.8174254325213
4,2,57,"div(add(sub(mult(DISTANCE, DISTANCE), sub(DISTANCE, DISTANCE)), sub(div(INITIAL_CAPACITY, DISTANCE), div(CAPACITY, INITIAL_CAPACITY))), DISTANCE)",-6566.020327020464
4,2,58,"mult(add(DISTANCE, CAPACITY), DISTANCE)",-6575.120215252088
4,2,59,"div(sub(CAPACITY, DISTANCE), DISTANCE)",-2688.206276056533
4,2,60,CAPACITY,-3588.788280293496
4,2,61,"sub(INITIAL_CAPACITY, DISTANCE)",-2779.231825447397
4,2,62,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,63,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,64,"add(add(mult(div(INITIAL_CAPACITY, CAPACITY), INITIAL_CAPACITY), mult(add(CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))), div(sub(div(DISTANCE, INITIAL_CAPACITY), mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), div(div(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, DISTANCE))))",-2760.547222442302
4,2,65,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,66,"mult(DISTANCE, CAPACITY)",-6502.349309724907
4,2,67,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,68,"div(INITIAL_CAPACITY, DISTANCE)",-2783.185579015526
4,2,69,"div(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,70,"sub(div(DISTANCE, sub(INITIAL_CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, CAPACITY))",-2778.8174254325213
4,2,71,"mult(add(DISTANCE, CAPACITY), sub(CAPACITY, DISTANCE))",-2778.8174254325213
4,2,72,"sub(DISTANCE, CAPACITY)",-6525.051111511678
4,2,73,"sub(div(CAPACITY, sub(div(DISTANCE, INITIAL_CAPACITY), INITIAL_CAPACITY)), div(CAPACITY, CAPACITY))",-3944.2675600061666
4,2,74,"mult(CAPACITY, DISTANCE)",-6502.349309724907
4,2,75,"sub(sub(DISTANCE, DISTANCE), sub(INITIAL_CAPACITY, CAPACITY))",-3526.758698883071
4,2,76,"div(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,77,"sub(CAPACITY, DISTANCE)",-2737.0869470519438
4,2,78,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,79,"div(DISTANCE, add(DISTANCE, INITIAL_CAPACITY))",-6510.84508341382
4,2,80,"div(sub(sub(sub(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), mult(div(INITIAL_CAPACITY, INITIAL_CAPACITY), sub(CAPACITY, DISTANCE))), add(div(add(CAPACITY, DISTANCE), sub(CAPACITY, CAPACITY)), mult(sub(DISTANCE, DISTANCE), sub(CAPACITY, CAPACITY))))",-2778.8174254325213
4,2,81,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,82,CAPACITY,-3588.788280293496
4,2,83,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,84,"div(DISTANCE, CAPACITY)",-5790.178922502918
4,2,85,CAPACITY,-3588.788280293496
4,2,86,"div(CAPACITY, add(DISTANCE, DISTANCE))",-2688.206276056533
4,2,87,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,88,"div(INITIAL_CAPACITY, DISTANCE)",-2783.185579015526
4,2,89,"div(INITIAL_CAPACITY, DISTANCE)",-2783.185579015526
4,2,90,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,91,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-3350.1956900593113
4,2,92,"add(mult(CAPACITY, DISTANCE), mult(sub(mult(CAPACITY, CAPACITY), add(INITIAL_CAPACITY, DISTANCE)), CAPACITY))",-4431.744951393215
4,2,93,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,94,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,95,INITIAL_CAPACITY,-3811.147489705553
4,2,96,"sub(CAPACITY, INITIAL_CAPACITY)",-3526.758698883071
4,2,97,"div(sub(sub(sub(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), mult(div(INITIAL_CAPACITY, INITIAL_CAPACITY), sub(CAPACITY, DISTANCE))), add(div(add(CAPACITY, DISTANCE), sub(CAPACITY, CAPACITY)), mult(sub(DISTANCE, DISTANCE), sub(CAPACITY, CAPACITY))))",-2778.8174254325213
4,2,98,"div(sub(sub(sub(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), mult(div(INITIAL_CAPACITY, INITIAL_CAPACITY), sub(CAPACITY, DISTANCE))), add(div(add(CAPACITY, DISTANCE), sub(CAPACITY, CAPACITY)), mult(sub(DISTANCE, DISTANCE), sub(CAPACITY, CAPACITY))))",-2778.8174254325213
4,2,99,INITIAL_CAPACITY,-3811.147489705553
4,2,100,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,1,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,2,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,3,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,4,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,5,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,6,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,7,"div(sub(CAPACITY, DISTANCE), DISTANCE)",-2688.206276056533
4,3,8,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,9,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,3,10,"div(CAPACITY, DISTANCE)",-2688.206276056533
